time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,160,35,46,28
2026-09-02 00:00:00+00:00,176,25,19,12
2026-09-03 00:00:00+00:00,46,18,36,19
2026-09-04 00:00:00+00:00,337,56,179,44
2026-09-05 00:00:00+00:00,230,44,103,20
2026-09-06 00:00:00+00:00,48,17,67,17
2026-09-07 00:00:00+00:00,32,13,54,19
2026-09-08 00:00:00+00:00,18,16,58,21
2026-09-09 00:00:00+00:00,27,22,35,25
2026-09-10 00:00:00+00:00,40,18,51,24
2026-09-11 00:00:00+00:00,31,16,84,26
2026-09-12 00:00:00+00:00,14,11,19,13
2026-09-13 00:00:00+00:00,31,19,24,11
2026-09-14 00:00:00+00:00,61,15,30,18
