time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-18 00:00:00+00:00,239,37,44,20
2026-08-19 00:00:00+00:00,39,15,60,21
2026-08-20 00:00:00+00:00,465,32,91,31
2026-08-21 00:00:00+00:00,1117,31,128,48
2026-08-22 00:00:00+00:00,1028,14,40,14
2026-08-23 00:00:00+00:00,351,13,39,10
2026-08-24 00:00:00+00:00,1090,22,80,21
2026-08-25 00:00:00+00:00,876,62,97,29
2026-08-26 00:00:00+00:00,205,31,127,38
2026-08-27 00:00:00+00:00,24,20,122,24
2026-08-28 00:00:00+00:00,98,31,59,20
2026-08-29 00:00:00+00:00,11,7,12,10
2026-08-30 00:00:00+00:00,334,10,17,7
2026-08-31 00:00:00+00:00,529,14,71,24
